n,blue,red
1.000000000000000000e+00,5.195074767999030563e-01,2.873560007752016254e+00
2.000000000000000000e+00,3.221339802046037648e-01,1.277137781195089694e+00
3.000000000000000000e+00,2.246525719575108715e-01,7.183900019166783446e-01
4.000000000000000000e+00,1.587482798047195054e-01,4.597696012250224173e-01
5.000000000000000000e+00,1.193732362768817612e-01,3.192844452945297062e-01
6.000000000000000000e+00,8.973762698273871075e-02,2.345763271548907125e-01
7.000000000000000000e+00,7.074331762811740532e-02,1.795975004778201656e-01
8.000000000000000000e+00,5.560511640165925751e-02,1.419041979083276450e-01
9.000000000000000000e+00,4.543171175597750938e-02,1.149424003057023663e-01
1.000000000000000000e+01,3.696767596887055168e-02,9.499371926088427676e-02
1.100000000000000000e+01,3.106145023147745265e-02,7.982111132336477954e-02
1.200000000000000000e+01,2.597442844740230697e-02,6.801325461871246536e-02
1.300000000000000000e+01,2.231391993969359874e-02,5.864408178857467846e-02
1.400000000000000000e+01,1.907064718601547693e-02,5.108551124692879697e-02
1.500000000000000000e+01,1.667708723306144877e-02,4.489937511936482883e-02
1.600000000000000000e+01,1.450641104514806094e-02,3.977245685313433865e-02
1.700000000000000000e+01,1.287048699177290034e-02,3.547604947701864242e-02
1.800000000000000000e+01,1.135798274202621215e-02,3.184000008463169773e-02
1.900000000000000000e+01,1.019790714397224990e-02,2.873560007637422295e-02
2.000000000000000000e+01,9.107886585686331832e-03,2.606403635044642758e-02
2.100000000000000000e+01,8.259356862471523703e-03,2.374842981517250387e-02
2.200000000000000000e+01,7.451116280532462527e-03,2.172824202370386010e-02
2.300000000000000000e+01,6.813917768159819671e-03,1.995527783078884093e-02
2.400000000000000000e+01,6.199875702457708845e-03,1.839078404884522330e-02
2.500000000000000000e+01,5.710461111878544632e-03,1.700331365461681815e-02
2.600000000000000000e+01,5.234096050653600819e-03,1.576713310083972461e-02
2.700000000000000000e+01,4.850787152894992307e-03,1.466102044706839823e-02
2.800000000000000000e+01,4.474456645618741547e-03,1.366734843102152680e-02
2.900000000000000000e+01,4.169101379032895058e-03,1.277137781163806968e-02
3.000000000000000000e+01,3.867035676582082897e-03,1.196070762794669562e-02
3.100000000000000000e+01,3.620119954759718969e-03,1.122484377972287999e-02
3.200000000000000000e+01,3.374243487589797825e-03,1.055485769551170634e-02
3.300000000000000000e+01,3.171927813856875722e-03,9.943114213135290091e-03
3.400000000000000000e+01,2.969285850452261025e-03,9.383053086001770515e-03
3.500000000000000000e+01,2.801553475744236136e-03,8.869012369070221335e-03
3.600000000000000000e+01,2.632681380169506549e-03,8.396084755494742993e-03
3.700000000000000000e+01,2.492149301251763045e-03,7.960000020930392897e-03
3.800000000000000000e+01,2.350012041789459761e-03,7.557028290708583430e-03
3.900000000000000000e+01,2.231148862659236218e-03,7.183900018815283540e-03
4.000000000000000000e+01,2.110435722285551596e-03,6.837739458675058668e-03
4.100000000000000000e+01,2.009035687161443359e-03,6.516009087274232670e-03
4.200000000000000000e+01,1.905680713114518265e-03,6.216462969097116646e-03
4.300000000000000000e+01,1.818502720578702879e-03,5.937107453387456546e-03
4.400000000000000000e+01,1.729351976336965550e-03,5.676167915873250695e-03
4.500000000000000000e+01,1.653868899393988066e-03,5.432060505441920796e-03
4.600000000000000000e+01,1.576452046084919189e-03,5.203368053133606771e-03
4.700000000000000000e+01,1.510666721213378867e-03,4.988819457123771367e-03
4.800000000000000000e+01,1.443021437210385361e-03,4.787271982106096162e-03
4.900000000000000000e+01,1.385348079246047880e-03,4.597696011536558242e-03
5.000000000000000000e+01,1.325902304236741382e-03,4.419161871828347805e-03
5.100000000000000000e+01,1.275059767306408994e-03,4.250828412865160361e-03
5.200000000000000000e+01,1.222544178207175250e-03,4.091933082280274463e-03
5.300000000000000000e+01,1.177490444403482550e-03,3.941783274292623256e-03
5.400000000000000000e+01,1.130873616502099709e-03,3.799748769428546412e-03
5.500000000000000000e+01,1.090784335678535773e-03,3.665255110706417633e-03
5.600000000000000000e+01,1.049215864017731753e-03,3.537777786025574252e-03
5.700000000000000000e+01,1.013308353296358405e-03,3.416837106535113890e-03
5.800000000000000000e+01,9.761398848629546099e-04,3.301993687427192022e-03
5.900000000000000000e+01,9.439546454508165960e-04,3.192844451512277457e-03
6.000000000000000000e+01,9.104983927319293706e-04,3.089019087587155550e-03
6.100000000000000000e+01,8.814890348249616566e-04,2.990176905393859483e-03
6.200000000000000000e+01,8.513045402135015292e-04,2.896004037215339083e-03
