n,Mn
1.000000000000000000e+00,1.110524169420041174e+00
2.000000000000000000e+00,2.333068508665561591e+00
3.000000000000000000e+00,3.451507104025013373e+00
4.000000000000000000e+00,4.610539135069222638e+00
5.000000000000000000e+00,5.551052042852568924e+00
6.000000000000000000e+00,6.462946569320146217e+00
7.000000000000000000e+00,7.174807116743364688e+00
8.000000000000000000e+00,7.852592362870027820e+00
9.000000000000000000e+00,8.379072167734982202e+00
1.000000000000000000e+01,8.881595965439869289e+00
1.100000000000000000e+01,9.274811270714240052e+00
1.200000000000000000e+01,9.653745214609349645e+00
1.300000000000000000e+01,9.953519168211482082e+00
1.400000000000000000e+01,1.024566678748353432e+01
1.500000000000000000e+01,1.047940456816288624e+01
1.600000000000000000e+01,1.070968393487296666e+01
1.700000000000000000e+01,1.089585793524347501e+01
1.800000000000000000e+01,1.108109242647517689e+01
1.900000000000000000e+01,1.123224984451285913e+01
2.000000000000000000e+01,1.138395943758575157e+01
2.100000000000000000e+01,1.150877580709572179e+01
2.200000000000000000e+01,1.163500742668248833e+01
2.300000000000000000e+01,1.173960756732790145e+01
2.400000000000000000e+01,1.184610230661828822e+01
2.500000000000000000e+01,1.193490191278210055e+01
2.600000000000000000e+01,1.202584083082996358e+01
2.700000000000000000e+01,1.210208748674640589e+01
2.800000000000000000e+01,1.218057464084107622e+01
2.900000000000000000e+01,1.224670131946938234e+01
3.000000000000000000e+01,1.231508229160748336e+01
3.100000000000000000e+01,1.237294272916244786e+01
3.200000000000000000e+01,1.243301876472204093e+01
3.300000000000000000e+01,1.248404724054293702e+01
3.400000000000000000e+01,1.253722199347685162e+01
3.500000000000000000e+01,1.258254385179218104e+01
3.600000000000000000e+01,1.262992580996448844e+01
3.700000000000000000e+01,1.267043528505727679e+01
3.800000000000000000e+01,1.271291050780038212e+01
3.900000000000000000e+01,1.274932644842244400e+01
4.000000000000000000e+01,1.278761106103256040e+01
4.100000000000000000e+01,1.282051745527925135e+01
4.200000000000000000e+01,1.285519610580393213e+01
4.300000000000000000e+01,1.288507198009566146e+01
4.400000000000000000e+01,1.291662640582278598e+01
4.500000000000000000e+01,1.294386818063935785e+01
4.600000000000000000e+01,1.297269870235233213e+01
4.700000000000000000e+01,1.299763711576662750e+01
4.800000000000000000e+01,1.302407900416911879e+01
4.900000000000000000e+01,1.304699207077017853e+01
5.000000000000000000e+01,1.307132814691401457e+01
5.100000000000000000e+01,1.309245118699442934e+01
5.200000000000000000e+01,1.311492162307703069e+01
5.300000000000000000e+01,1.313445510157974461e+01
5.400000000000000000e+01,1.315526511727964909e+01
5.500000000000000000e+01,1.317338082732871918e+01
5.600000000000000000e+01,1.319270678736688751e+01
5.700000000000000000e+01,1.320955277001199946e+01
5.800000000000000000e+01,1.322754705540794795e+01
5.900000000000000000e+01,1.324325154558882289e+01
6.000000000000000000e+01,1.326004647539998516e+01
6.100000000000000000e+01,1.327472109029129221e+01
6.200000000000000000e+01,1.329043210190484459e+01
6.300000000000000000e+01,1.330417443553740142e+01
6.400000000000000000e+01,1.331890268143574474e+01
6.500000000000000000e+01,1.333179843015163080e+01
6.600000000000000000e+01,1.334563291153384768e+01
6.700000000000000000e+01,1.335775762571205938e+01
6.800000000000000000e+01,1.337077695654149423e+01
6.900000000000000000e+01,1.338219749299766193e+01
7.000000000000000000e+01,1.339447136659006965e+01
7.100000000000000000e+01,1.340524709933660574e+01
7.200000000000000000e+01,1.341683751388377033e+01
7.300000000000000000e+01,1.342702134876888742e+01
7.400000000000000000e+01,1.343798363741067625e+01
7.500000000000000000e+01,1.344762286654696126e+01
7.600000000000000000e+01,1.345800656647435112e+01
7.700000000000000000e+01,1.346714359119194704e+01
7.800000000000000000e+01,1.347699318078785424e+01
7.900000000000000000e+01,1.348566612590057900e+01
8.000000000000000000e+01,1.349502165247161578e+01
8.100000000000000000e+01,1.350326489069579949e+01
8.200000000000000000e+01,1.351216250740613667e+01
8.300000000000000000e+01,1.352000710834045094e+01
8.400000000000000000e+01,1.352847953461766473e+01
8.500000000000000000e+01,1.353595365146775364e+01
8.600000000000000000e+01,1.354403057055677451e+01
8.700000000000000000e+01,1.355115977324689425e+01
8.800000000000000000e+01,1.355886817533940203e+01
8.900000000000000000e+01,1.356567573971179463e+01
9.000000000000000000e+01,1.357304021975341257e+01
