n,blue,red
1.000000000000000000e+00,9.999999999974451548e-01,1.899336376580180996e+01
2.000000000000000000e+00,8.391926261400355358e-01,1.899336376580180996e+01
3.000000000000000000e+00,3.002597793403719018e-01,2.108985752808087089e+00
4.000000000000000000e+00,3.002597791153670537e-01,2.108985752808084868e+00
5.000000000000000000e+00,2.176136812880089255e-01,2.108985752808083980e+00
6.000000000000000000e+00,1.338905719074678369e-01,7.582366975716120505e-01
7.000000000000000000e+00,1.338905714130533275e-01,7.582366975716089419e-01
8.000000000000000000e+00,1.316324568935025030e-01,7.582366975716068325e-01
9.000000000000000000e+00,1.272095514209339862e-01,3.860930650519344698e-01
1.000000000000000000e+01,1.272095508615016524e-01,3.860930650519341367e-01
1.100000000000000000e+01,1.253508002087483364e-01,3.860930650519309726e-01
1.200000000000000000e+01,1.213871258460966218e-01,2.329492532654892645e-01
1.300000000000000000e+01,1.213871249237780808e-01,2.329492532654889037e-01
1.400000000000000000e+01,1.210726992136741120e-01,2.329492532654828807e-01
1.500000000000000000e+01,1.203949266307992316e-01,1.865443998168679618e-01
1.600000000000000000e+01,1.203949265882650610e-01,1.865443998168677953e-01
1.700000000000000000e+01,1.123864664694260856e-01,1.865443998168677675e-01
1.800000000000000000e+01,1.112819584673368917e-01,1.865443998168677397e-01
1.900000000000000000e+01,1.104581578402198394e-01,1.865443998168674622e-01
2.000000000000000000e+01,9.557391005595143596e-02,1.865443998168667961e-01
2.100000000000000000e+01,2.661988394807778685e-02,1.729455800504018370e-01
2.200000000000000000e+01,2.661988328191018660e-02,1.729455800504015317e-01
2.300000000000000000e+01,2.633371112488144469e-02,1.729455800504013374e-01
2.400000000000000000e+01,2.632163072400075729e-02,1.729455800504010876e-01
2.500000000000000000e+01,2.593540177644665379e-02,1.729455800504009211e-01
2.600000000000000000e+01,2.577021167983560221e-02,1.729455800504005880e-01
2.700000000000000000e+01,2.441999484639678988e-02,1.554299620031108498e-01
2.800000000000000000e+01,2.441999165837396846e-02,1.554299620031105167e-01
2.900000000000000000e+01,2.283956379276656790e-02,1.554299620031075746e-01
3.000000000000000000e+01,1.978342288206653976e-02,1.509011779595199332e-01
3.100000000000000000e+01,1.978342029443774450e-02,1.509011779595196834e-01
3.200000000000000000e+01,1.977825050699312179e-02,1.509011779595194613e-01
3.300000000000000000e+01,1.977775514085731642e-02,1.509011779595194336e-01
3.400000000000000000e+01,1.977457858243426153e-02,1.509011779595194058e-01
3.500000000000000000e+01,1.977364730304420962e-02,1.509011779595192948e-01
3.600000000000000000e+01,1.977275910561087854e-02,1.266134793471393183e-01
3.700000000000000000e+01,1.977275540335387410e-02,1.266134793471390685e-01
3.800000000000000000e+01,1.977142141361214536e-02,1.266134793471390130e-01
3.900000000000000000e+01,1.977134329439814500e-02,1.266134793471389852e-01
