Size,Mean,Mean-Quartile_1,Quartile_3-Mean
1,3.2028,2.2416,-0.73298
2,3.0206,1.6605,-0.3767
3,0.50538,0.25507,0.12041
4,0.27958,0.12899,0.087149
5,0.079133,0.027859,0.021798
6,0.047162,0.028223,0.017551
7,0.013054,0.0043508,0.0021193
8,0.015239,0.0066365,0.0017327
9,0.0058958,0.00054045,0.00041753
10,0.0060404,0.00077071,0.00031814
11,0.0062033,0.00083465,0.0009868
12,0.0056437,0.00021191,3.135e-05
13,0.0051819,0.00041438,0.000521
14,0.0055635,0.00059847,-0.000264
15,0.0051641,0.00046182,0.00026669
16,0.0052671,0.00081134,0.00038891
17,0.0049475,0.00070094,0.00042739
18,0.0051719,0.00061877,0.00053025
19,0.0049379,0.00048831,0.00071771
20,0.0049528,0.00045325,6.5271e-05
21,0.0052301,0.00027182,0.00040467
22,0.0051515,0.00054332,0.00042713
23,0.0051791,0.00055173,0.00055841
24,0.004742,0.00022939,0.00032854
25,0.0050105,0.00021986,0.0005429
