Resolution,Error
10,1.738485e-02
20,1.205717e-02
30,9.689507e-03
40,8.652154e-03
50,8.052619e-03
60,7.439462e-03
70,6.900237e-03
80,6.463751e-03
90,6.118050e-03
100,5.844051e-03
110,5.625055e-03
120,5.448197e-03
130,5.303836e-03
140,5.184737e-03
150,5.085511e-03
160,5.002097e-03
170,4.931383e-03
180,4.870945e-03
190,4.818942e-03
200,4.773888e-03
210,4.734613e-03
220,4.700189e-03
230,4.669846e-03
240,4.642976e-03
250,4.619068e-03
260,4.597715e-03
270,4.578565e-03
280,4.561329e-03
290,4.545739e-03
300,4.531625e-03
310,4.518789e-03
320,4.507085e-03
330,4.496383e-03
340,4.486578e-03
350,4.477566e-03
360,4.469265e-03
370,4.461602e-03
380,4.454510e-03
390,4.447946e-03
400,4.441847e-03
