Magnitude,Mean,Mean-Quartile_1,Quartile_3-Mean
0,1.096e-06,5.1492e-07,5.0887e-09
2,7.9105e-07,4.4046e-07,3.5609e-07
4,1.8062e-06,1.1921e-06,-2.8548e-07
6,2.3727e-06,1.8474e-06,-8.4894e-07
8,1.5161e-06,8.4337e-07,3.9714e-07
10,9.7603e-07,2.8108e-07,4.729e-07
12,2.8688e-06,1.9465e-06,-8.9548e-07
14,2.5283e-06,1.6939e-06,4.9995e-07
16,2.4408e-06,9.7262e-07,7.7618e-07
18,2.0774e-06,1.2093e-06,1.6575e-06
20,6.2319e-06,5.5649e-06,-2.4474e-06
22,2.9949e-06,2.3551e-06,2.3851e-07
24,2.7522e-06,1.6546e-06,1.7679e-06
26,8.1404e-06,5.8514e-06,-1.5665e-06
28,4.0278e-06,3.2398e-06,4.3981e-06
30,5.7377e-06,4.454e-06,3.8134e-06
32,4.3392e-06,1.6543e-06,6.8761e-07
34,5.4887e-06,3.9837e-06,6.1291e-07
36,6.8417e-06,5.0213e-06,-2.1297e-07
38,1.2144e-05,9.0837e-06,1.0551e-06
40,1.4306e-05,1.1037e-05,-6.8e-06
42,5.6382e-06,3.955e-06,7.9751e-07
44,1.5997e-05,1.257e-05,-6.5246e-06
46,1.5321e-05,1.2413e-05,8.593e-06
48,2.3837e-05,1.7217e-05,7.984e-06
50,6.5717e-06,2.3868e-06,3.2338e-06
